"n","B","vare","seed","ps","out","method","type","est","se"
2000,30,0.16,2000007,1,1,"dr","mccs",0.670974231300414,0.0200857223781272
2000,30,0.16,2000008,0,0,"gfmla","naive",0.651230338728656,0.0137883696778189
2000,30,0.16,2000008,0,0,"gfmla","oracle",0.756365625534081,0.0135873879109003
2000,30,0.16,2000008,0,0,"gfmla","mccs",0.744573780744846,0.0162921695071866
2000,30,0.16,2000008,0,0,"ipw","naive",0.553812063763897,0.0677572818731522
2000,30,0.16,2000008,0,0,"ipw","oracle",0.720844181648206,0.0340943890689601
2000,30,0.16,2000008,0,0,"ipw","mccs",0.596105014953646,0.10066741190257
2000,30,0.16,2000008,0,0,"dr","naive",0.645885271397754,0.0162701821881913
2000,30,0.16,2000008,0,0,"dr","oracle",0.750138096522339,0.0154336623640245
2000,30,0.16,2000008,0,0,"dr","mccs",0.747602473021149,0.0197192553988048
2000,30,0.16,2000008,1,0,"gfmla","naive",0.651230338728656,0.0137883696778189
2000,30,0.16,2000008,1,0,"gfmla","oracle",0.756365625534081,0.0135873879109003
2000,30,0.16,2000008,1,0,"gfmla","mccs",0.744573780744846,0.0162921695071866
2000,30,0.16,2000008,1,0,"ipw","naive",0.594968768569963,0.0217891470371341
2000,30,0.16,2000008,1,0,"ipw","oracle",0.69166163666156,0.0199316689979746
2000,30,0.16,2000008,1,0,"ipw","mccs",0.664490945338841,0.0270207855121941
2000,30,0.16,2000008,1,0,"dr","naive",0.649031637642359,0.0151807289157929
2000,30,0.16,2000008,1,0,"dr","oracle",0.755154911570717,0.0159433091434224
2000,30,0.16,2000008,1,0,"dr","mccs",0.74385539568358,0.0183400043255764
2000,30,0.16,2000008,0,1,"gfmla","naive",0.613155622422536,0.0164736104086073
2000,30,0.16,2000008,0,1,"gfmla","oracle",0.697513119707068,0.0167641507157628
2000,30,0.16,2000008,0,1,"gfmla","mccs",0.68862833871653,0.018772632065412
2000,30,0.16,2000008,0,1,"ipw","naive",0.553812063763897,0.0677572818731699
2000,30,0.16,2000008,0,1,"ipw","oracle",0.720844181648206,0.0340943890689601
2000,30,0.16,2000008,0,1,"ipw","mccs",0.596105014953646,0.10066741190257
2000,30,0.16,2000008,0,1,"dr","naive",0.611998994580719,0.0278576712980959
2000,30,0.16,2000008,0,1,"dr","oracle",0.746142251208737,0.0253795476928138
2000,30,0.16,2000008,0,1,"dr","mccs",0.692393242685812,0.0352554825868596
2000,30,0.16,2000008,1,1,"gfmla","naive",0.613155622422536,0.0164736104086073
2000,30,0.16,2000008,1,1,"gfmla","oracle",0.697513119707068,0.0167641507157628
2000,30,0.16,2000008,1,1,"gfmla","mccs",0.68862833871653,0.018772632065412
2000,30,0.16,2000008,1,1,"ipw","naive",0.594968768315531,0.0217891470354149
2000,30,0.16,2000008,1,1,"ipw","oracle",0.69166163666156,0.0199316689979746
2000,30,0.16,2000008,1,1,"ipw","mccs",0.664490945338841,0.0270207855121941
2000,30,0.16,2000008,1,1,"dr","naive",0.604171065363759,0.0185524292298476
2000,30,0.16,2000008,1,1,"dr","oracle",0.700438100482689,0.0178281611535038
2000,30,0.16,2000008,1,1,"dr","mccs",0.678845952009017,0.0231505593069858
2000,30,0.16,2000009,0,0,"gfmla","naive",0.629069591264628,0.0136310431227104
2000,30,0.16,2000009,0,0,"gfmla","oracle",0.734369221142295,0.0134531552840656
2000,30,0.16,2000009,0,0,"gfmla","mccs",0.723564215861749,0.0162440377875575
2000,30,0.16,2000009,0,0,"ipw","naive",0.61697474096629,0.0263247880779965
2000,30,0.16,2000009,0,0,"ipw","oracle",0.678173148160697,0.0278098851782118
2000,30,0.16,2000009,0,0,"ipw","mccs",0.697564129216534,0.0347755264933902
2000,30,0.16,2000009,0,0,"dr","naive",0.6224735062882,0.0179023011293645
2000,30,0.16,2000009,0,0,"dr","oracle",0.740581748042061,0.0159119997789422
2000,30,0.16,2000009,0,0,"dr","mccs",0.714231113920562,0.0241868458502364
2000,30,0.16,2000009,1,0,"gfmla","naive",0.629069591264628,0.0136310431227104
2000,30,0.16,2000009,1,0,"gfmla","oracle",0.734369221142295,0.0134531552840656
2000,30,0.16,2000009,1,0,"gfmla","mccs",0.723564215861749,0.0162440377875575
2000,30,0.16,2000009,1,0,"ipw","naive",0.587941055471089,0.0153268365368319
2000,30,0.16,2000009,1,0,"ipw","oracle",0.660498090806933,0.0154140407363215
2000,30,0.16,2000009,1,0,"ipw","mccs",0.662239121009099,0.0180770286041579
2000,30,0.16,2000009,1,0,"dr","naive",0.617897081302995,0.0147751999070666
2000,30,0.16,2000009,1,0,"dr","oracle",0.731653636928855,0.014108907207728
2000,30,0.16,2000009,1,0,"dr","mccs",0.708340523247231,0.018302421920872
2000,30,0.16,2000009,0,1,"gfmla","naive",0.58701159000219,0.016426834172002
2000,30,0.16,2000009,0,1,"gfmla","oracle",0.660113889728748,0.0168278294693369
2000,30,0.16,2000009,0,1,"gfmla","mccs",0.661366635087301,0.0187310472676065
2000,30,0.16,2000009,0,1,"ipw","naive",0.61697474096629,0.0263247880779965
2000,30,0.16,2000009,0,1,"ipw","oracle",0.678173148160697,0.0278098851782118
2000,30,0.16,2000009,0,1,"ipw","mccs",0.697564129216534,0.0347755264933902
2000,30,0.16,2000009,0,1,"dr","naive",0.611317471978039,0.0237033404985783
2000,30,0.16,2000009,0,1,"dr","oracle",0.692486429682379,0.0268658068546984
2000,30,0.16,2000009,0,1,"dr","mccs",0.692249697717768,0.0315290913944708
2000,30,0.16,2000009,1,1,"gfmla","naive",0.58701159000219,0.016426834172002
2000,30,0.16,2000009,1,1,"gfmla","oracle",0.660113889728748,0.0168278294693369
2000,30,0.16,2000009,1,1,"gfmla","mccs",0.661366635087301,0.0187310472676065
2000,30,0.16,2000009,1,1,"ipw","naive",0.587941055471089,0.0153268365368319
2000,30,0.16,2000009,1,1,"ipw","oracle",0.660498090806933,0.0154140407363215
2000,30,0.16,2000009,1,1,"ipw","mccs",0.662239121009099,0.0180770286041579
2000,30,0.16,2000009,1,1,"dr","naive",0.578173351588928,0.0179236560206677
2000,30,0.16,2000009,1,1,"dr","oracle",0.657846439179713,0.0167172520403971
2000,30,0.16,2000009,1,1,"dr","mccs",0.650084182003565,0.0215916344804632
2000,30,0.16,2000010,0,0,"gfmla","naive",0.636863087825313,0.0134686610357218
2000,30,0.16,2000010,0,0,"gfmla","oracle",0.740394045689253,0.0133901186105357
