"n","vare","B","n.supp","k","seed","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,5,2,7000041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,0.05,80,5,6,7000041,0.462531714557974,0.13698409049091,0.158914154578032,0.122225883921486,0.032262981325745,0.0810227325359208,0.0647959386500748,0.0714272303991566,0.0324774422280937,0.0816088007027237,0.0655243846218508,0.0718201537124319
800,0.05,80,5,10,7000041,0.479983917711783,0.146404918930908,0.231668614646317,0.116735445988587,0.0376210426798957,0.0948959914874079,0.0939961408887604,0.0801458081724953,0.0381279153979044,0.0957367564161412,0.096263823600313,0.0808927135013891
800,0.05,80,5,14,7000041,0.471231927734634,0.142931763563523,0.196572254775168,0.119761408864654,0.0358868897988666,0.0921410782875276,0.0819267585538914,0.0762020032613043,0.0362798357416154,0.0929382827589697,0.0834948301573929,0.0767710553004968
800,0.05,80,5,18,7000041,0.463271372657768,0.16970217648956,0.202600995954657,0.133093884020645,0.0411891221252754,0.123016008350383,0.0864829798674364,0.0803236327392678,0.0417687541140991,0.124903194751566,0.0881266931287269,0.0809826805553339
800,0.05,80,5,2,7000042,0.356202026916397,0.46902988981912,0.0706956732735378,-0.117259188565152,0.17220170414356,1.90877275975698,2.41448259860443,0.359486208510716,0.195750251033175,1.9240367714806,2.50530407308858,0.360237324947764
800,0.05,80,5,6,7000042,0.45498328389458,0.129960821122388,0.0292394136375137,0.0926951893377967,0.0422131676027568,0.103019776152045,0.100025824142468,0.0727195411423298,0.0427948965657182,0.105247297169985,0.101190243493387,0.0728012751355082
800,0.05,80,5,10,7000042,0.435320241784317,0.194508257889553,-0.04395329118589,0.10574607655579,0.0580130030530452,0.171830139069672,0.122899538179075,0.077331783861235,0.0599056368955563,0.179876417858592,0.124901402723444,0.0769026833198244
800,0.05,80,5,14,7000042,0.441452953105115,0.163578440162798,-0.02374060442236,0.0993670319202469,0.0519964369478485,0.130886526025309,0.124479472783962,0.075381120765678,0.0530913038751579,0.134515901883039,0.126417188757224,0.0753454138119641
800,0.05,80,5,18,7000042,0.447185021243984,0.168738450212122,0.0143707987049882,0.0890417829617315,0.0462173573837558,0.132448801401905,0.101786756354047,0.0743360969607731,0.0471080324129461,0.137166729628382,0.103007104888895,0.0742280292772582
800,0.05,80,5,2,7000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,0.05,80,5,6,7000043,0.397772363785314,0.348614711908715,0.0686023850428451,0.264278675146225,0.0415288045541912,0.118130046169126,0.10841323335448,0.078900072723214,0.0422722983763495,0.120481480000386,0.10947623070326,0.0794602864665707
800,0.05,80,5,10,7000043,0.386773181757837,0.370409471345777,-0.0141732809623244,0.244923513269651,0.0394567108374067,0.101863908652361,0.096379358596532,0.074025561189589,0.0406460463449932,0.105206394939325,0.0979096996860767,0.0744384222777506
800,0.05,80,5,14,7000043,0.404504901345111,0.30256149845598,0.030236665901037,0.250255023382325,0.0357169172756373,0.0826789720259155,0.0939336034678078,0.0725031742784554,0.0364537814408183,0.0853531714199445,0.0948302985232469,0.0728845456912504
800,0.05,80,5,18,7000043,0.410778627264171,0.286284160913024,0.0676396027428685,0.261064721565039,0.0378931016686906,0.0850664041215876,0.104765662309822,0.0760248424548316,0.038479591968533,0.0872704894453928,0.105743172671058,0.0764910100601277
800,0.05,80,5,2,7000044,0.407343012847929,0.176395304231636,0.204138965239717,0.159596205544249,0.0292541411014892,0.115373259288464,0.0747751083800953,0.0892111238095608,0.0301484258810212,0.133912689996635,0.0737059965912146,0.0870927760842581
800,0.05,80,5,6,7000044,0.420893276106801,0.162740100353806,0.24287338067619,0.166169552605663,0.0311209664957329,0.106383049705344,0.102938578703698,0.0841994027303282,0.031839498401043,0.122301099371605,0.103115462761341,0.0824666072965055
800,0.05,80,5,10,7000044,0.408708855128352,0.171021182310944,0.245293998262865,0.17800581294507,0.0314489084644533,0.121479532927164,0.0950931346580465,0.0935259319420843,0.0327620829403365,0.145460484307826,0.0933811436778664,0.0901365848146628
800,0.05,80,5,14,7000044,0.428898891477473,0.204326254770935,0.209187255844612,0.0820472661783258,0.0387833472715657,0.106734658991877,0.105868683687039,0.0715443828541197,0.0400882405685342,0.113427477012164,0.108559066804127,0.0712481417116507
800,0.05,80,5,18,7000044,0.423037294023987,0.183692970207368,0.220651187185297,0.125224733996165,0.0312818691416126,0.100368954127404,0.0878479991533986,0.0785537097723241,0.0321292703879667,0.109578460342515,0.0885140740081215,0.0779671512673445
800,0.05,80,5,2,7000045,0.384077949498136,0.354689739861489,0.0423973440823501,0.262594628645364,0.0783190801320172,0.232505113388654,0.134162954839313,0.0812555779240545,0.0813878573645098,0.239760541711168,0.14107336402424,0.0821179831998147
800,0.05,80,5,6,7000045,0.419804685116517,0.466079024795859,0.209949964108353,0.188387781275936,0.0423848749703998,0.148125575002011,0.10165556939344,0.0692875535830618,0.0429115792488212,0.149732429579763,0.102481774851754,0.0695744543947296
800,0.05,80,5,10,7000045,0.435675850267701,0.312714822648751,0.159832226330939,0.192005785601892,0.03691815467424,0.101588013019848,0.0858921003796512,0.0643267907382682,0.0372200847844777,0.102428729165595,0.0863956654560392,0.0645399162687542
800,0.05,80,5,14,7000045,0.462809995882875,0.259917793144383,0.237192234277247,0.190850138762651,0.037851373023084,0.0847147417434369,0.142270950445152,0.0675295107503475,0.0381677830687493,0.0852398553701764,0.143778392419323,0.0677981878271338
800,0.05,80,5,18,7000045,0.441743767052702,0.258118190145986,0.152111509712227,0.195404871508768,0.0340507740346308,0.0835700440261511,0.0851145018350125,0.0632890051801216,0.0342535472066491,0.0841098242285916,0.0856050015839692,0.0634878815530986
800,0.05,80,5,2,7000046,0.473375027047458,0.385215852380728,0.57192803785914,0.250176496850981,0.0577820325535795,0.137929212454598,0.352883142657262,0.10384800827947,0.0607955005400173,0.142405080850986,0.371709720444207,0.104927215479393
800,0.05,80,5,6,7000046,0.395114292487071,0.383098354464045,0.138556347983079,0.223870948096994,0.0572918908410001,0.1539036203077,0.159470136640612,0.0842290521518666,0.0607751205441464,0.156541950733766,0.170137447891585,0.0849837798073836
800,0.05,80,5,10,7000046,0.383932715236798,0.311231766780079,0.131982994673021,0.237839535924931,0.037825385359543,0.111399696192199,0.109191473639101,0.0728821755630782,0.0383034415349583,0.112789756080722,0.111921366179798,0.0733001296204989
800,0.05,80,5,14,7000046,0.391070489515864,0.318268546430143,0.1393740922375,0.241091887430597,0.0419710088381228,0.116981291420515,0.107767177929333,0.0719613906991905,0.0425187137047848,0.118527035924237,0.110032976769026,0.0722947290718145
800,0.05,80,5,18,7000046,0.395707637360233,0.316804176397467,0.194864851343897,0.241867021459995,0.0363885907417271,0.0980623745067643,0.125512004912554,0.0722762664127937,0.0370116496787627,0.0990946852744751,0.129621652154213,0.0726729286591645
800,0.05,80,5,2,7000047,0.422084641305642,0.158925916563523,0.0528758832183309,0.268540017909667,0.040304547531194,0.0741403460092843,0.115956386948411,0.0637172996912052,0.0407122459504529,0.0750225483017114,0.117517833633612,0.0638874453897874
800,0.05,80,5,6,7000047,0.452317793684676,0.131823705009432,0.171390409760133,0.285200711933451,0.0360639396549324,0.097724275654799,0.118557290311074,0.080630946991624,0.0363803087431189,0.0999364734431109,0.119497539896962,0.0814130960735448
800,0.05,80,5,10,7000047,0.441300823003595,0.149694090093912,0.12134598219386,0.264619077482599,0.0354496441293103,0.0798198490539193,0.101222179630032,0.0663058689349767,0.0357142512108687,0.0808502074332005,0.102353497569575,0.0665073008735231
800,0.05,80,5,14,7000047,0.465270128423594,0.111621160212588,0.198417273790604,0.277795672285022,0.0351139308211282,0.0899748124346139,0.123863677476217,0.082120124192313,0.0353833304750302,0.0919548630240646,0.125113012178165,0.0829315727452242
800,0.05,80,5,18,7000047,0.442191588537654,0.163802927920134,0.143031471767675,0.268046776169117,0.0345698465451317,0.0863822449443827,0.094833932642882,0.0680345590835057,0.0348097634349607,0.0873105590521032,0.0961611685825587,0.06826503245634
800,0.05,80,5,2,7000048,0.470342731042948,0.174521081000047,0.096549303662851,0.114901675063144,0.0432201628791488,0.109071267108779,0.112917031579633,0.0726345959084294,0.043876008739807,0.11169376183836,0.115436763637821,0.0730353173748349
800,0.05,80,5,6,7000048,0.454987776922558,0.219834677796504,0.063491173982924,0.102840102455189,0.0396130357686947,0.0985834630730096,0.0925002877894143,0.0692981734147995,0.0400773091694896,0.100126672786299,0.0941399774014822,0.0695960227006586
800,0.05,80,5,10,7000048,0.468533331618062,0.185526664547481,0.0958605068525356,0.109370293641267,0.0357548806446661,0.0964723080137048,0.081732954981501,0.0694503444447088,0.0361184826174512,0.0985939606995847,0.0827799969289491,0.0697440230708018
800,0.05,80,5,14,7000048,0.46435142247698,0.208079775075515,0.0967950383771869,0.103312368466226,0.0383464308041341,0.108114021020567,0.0867190800843501,0.0704326105535695,0.03881667221036,0.110756077553537,0.0878647073735784,0.0707357585917121
800,0.05,80,5,18,7000048,0.470092235073955,0.181895536624092,0.0973864017162542,0.108803385940577,0.0395691907329923,0.10380688941914,0.0961977309464194,0.070832559991912,0.0400701124435343,0.106249015180635,0.0977902349267709,0.0711687793165254
800,0.05,80,5,2,7000049,0.451399165710788,0.527749959607277,0.467777705179143,0.0539851880783267,0.0955580775367953,0.351644153900066,0.536221038003088,0.243603155488775,0.102053231386543,0.361798902926874,0.564862917141282,0.243303079487592
800,0.05,80,5,6,7000049,0.410189477030718,0.353428629341436,0.171441207694502,0.101580908049648,0.0345437329566559,0.079732011371419,0.109478807077855,0.0722610496454055,0.0355039852319953,0.085171328324662,0.112144460832568,0.0723471238149549
800,0.05,80,5,10,7000049,0.397175804557918,0.572043223577545,0.262909665163873,0.0558639187586954,0.0314375976163641,0.125344881516171,0.109970143958727,0.087811184926299,0.0317347242871303,0.133406064161403,0.112863926718148,0.0898626360467162
