"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
8000,0.67,80,9000004,3,0.33459653772391,0.284537439825734,0.339597906478434,0.0086728381820655,0.00681772921057733,0.0138509425028007,0.00868558055683474,0.00682248006953331,0.0138836961968553
800,0.78,80,9000004,3,0.3356181670706,0.28827852434042,0.413093500602311,0.0288882902429409,0.020873635076411,0.0356312213492582,0.0295096932070063,0.0210336228241503,0.0543170762096482
8000,0.78,80,9000004,3,0.33459653772391,0.281031430115351,0.130499985347258,0.0086728381820655,0.00666165144736315,0.00317663282299549,0.00868558055683474,0.00666584197688237,0.00323350826317456
800,0.89,80,9000004,3,0.3356181670706,0.285284893530066,0.43225864306536,0.0288882902429409,0.0204675729512876,0.0309348679942267,0.0295096932070063,0.0206098082302679,0.907713151262072
8000,0.89,80,9000004,3,0.33459653772391,0.278065164382378,0.0423364987500853,0.0086728381820655,0.00652823457720048,0.00325040824983491,0.00868558055683474,0.00653196486617941,0.00324116708628431
800,1,80,9000004,3,0.3356181670706,0.282702409127703,0.469236566124288,0.0288882902429409,0.0201174506387439,0.037380712325175,0.0295096932070063,0.0202449924995499,0.636798177532566
8000,1,80,9000004,3,0.33459653772391,0.275523395030905,0.340366607448429,0.0086728381820655,0.00641294094394278,0.0109298998378138,0.00868558055683474,0.00641628841889361,0.011311494196489
800,0.01,80,9000005,3,0.335976476628784,0.33333326101918,0.335095598313592,0.026481165401288,0.0263586322831649,0.0266800466242533,0.0269390832030934,0.0268129748164672,0.0271523892957462
8000,0.01,80,9000005,3,0.336520082888534,0.335629439572965,0.337347494494737,0.00874515002450518,0.00873549883822274,0.00884221752753726,0.00875857150566147,0.00874863813922976,0.00885575616167634
800,0.12,80,9000005,3,0.335976476628784,0.315206279567363,0.332535107396201,0.026481165401288,0.0248163611005063,0.0283226981640019,0.0269390832030934,0.0251780140348233,0.0289187424776412
8000,0.12,80,9000005,3,0.336520082888534,0.321460744224469,0.339171084834032,0.00874515002450518,0.00827574839693318,0.00950795916340027,0.00875857150566147,0.00828618621222216,0.00952250220871486
800,0.23,80,9000005,3,0.335976476628784,0.302850736481683,0.331448925070912,0.026481165401288,0.023674655651821,0.0300831266691391,0.0269390832030934,0.0239724106370017,0.0309094659828302
8000,0.23,80,9000005,3,0.336520082888534,0.310563339211204,0.34012136800054,0.00874515002450518,0.00787844188033032,0.0101464094258237,0.00875857150566147,0.00788690157397258,0.0101617234599249
800,0.34,80,9000005,3,0.335976476628784,0.293652262361951,0.331309674096243,0.026481165401288,0.0227739652782065,0.0324878257532175,0.0269390832030934,0.0230253986694811,0.0338867305311284
8000,0.34,80,9000005,3,0.336520082888534,0.302207683932453,0.340929980917766,0.00874515002450518,0.0075569899639019,0.01082581990341,0.00875857150566147,0.00756398201581382,0.0108418216452563
800,0.45,80,9000005,3,0.335976476628784,0.28651856130156,0.33333923873874,0.026481165401288,0.0220339773310256,0.0428192591699724,0.0269390832030934,0.0222492049451606,0.05043687219265
8000,0.45,80,9000005,3,0.336520082888534,0.295631181584998,0.341749875663906,0.00874515002450518,0.00729446656142434,0.0116032164470104,0.00875857150566147,0.00730034571775775,0.0116200659649173
